student_program_id,student_id,program_id,program_status,program_start,grad_date,program_end
161,3303,1,Graduated,01/18/10,06/14/14,05/19/14
162,3320,1,Terminated,08/13/07,,
163,3338,1,terminated,08/18/14,,
164,3355,1,Graduated,08/17/09,06/18/11,05/24/11
165,3373,1,Graduated,08/17/09,06/15/13,05/13/13
166,3391,1,Terminated,08/13/07,,
167,3400,1,Graduated,01/18/10,06/15/13,05/13/13
168,3420,1,Terminated,08/18/14,,
169,3424,1,Graduated,08/16/10,06/16/12,05/22/12
170,3445,1,Graduated,08/13/07,06/19/10,05/25/10
171,3478,1,Terminated,08/13/07,,
172,3482,1,Graduated,08/13/07,06/19/10,05/25/10
173,3512,1,Terminated,01/16/12,,
174,3519,1,Terminated,08/13/07,,
175,3551,1,Graduated,08/17/09,06/18/11,05/24/11
176,3569,1,Terminated,01/14/13,,
177,3591,1,Graduated,01/17/11,01/25/14,12/09/13
178,3611,1,Graduated,08/17/09,06/18/11,05/24/11
179,3630,1,Terminated,08/17/09,,
180,3647,1,Graduated,08/13/07,06/20/09,05/25/09
181,3672,1,Graduated,08/17/09,06/16/12,05/22/12
182,3695,1,Graduated,08/19/13,06/13/15,05/18/15
183,3715,1,Graduated,08/15/11,06/11/16,05/16/16
184,3736,1,Dropped,08/01/18,,
185,3745,1,Graduated,08/18/08,06/18/11,05/24/11
186,3773,1,Graduated,04/14/14,06/11/16,05/16/16
187,3791,1,Terminated,01/07/08,,
188,3801,1,Terminated,08/19/13,,
189,3805,1,Graduated,01/16/12,02/11/17,05/16/16
190,3825,1,Graduated,08/16/10,06/15/13,05/13/13
191,3847,1,Graduated,08/16/10,06/16/12,05/22/12
192,3865,1,Graduated,08/16/10,06/11/16,05/16/16
193,3883,1,Graduated,08/16/10,06/16/12,05/22/12
194,3901,1,Graduated,08/16/10,02/07/15,12/08/14
195,3933,1,Graduated,08/16/10,06/24/12,05/22/12
196,3952,1,Dropped,01/20/14,,
197,3963,1,Terminated,01/18/10,,
